index	headword	pos	definition	notes:bookkeeping	Transcription:Armenian	Transcription	UR	Declension class	Verb Regularity	Regular category	Subclass	Class number
3586	աննմանոտն	adjective	Anomaliped.		աննըմանոտըն	ɑ n n ə m ɑ n ó d ə n	Pան+Rնման+Rոտն	Adjective				
3696	անոտն	adjective	Footless, apodal.		անոտըն	ɑ n ó d ə n	Pան+Rոտն	Adjective				
5737	արագոտն	adjective	Quick-footed, nimble, brisk, that walks quick.		արագոտըն	ɑ ɾ ɑ k ó d ə n	Rարագ+Rոտն	Adjective				
7412	բազրոտն	noun	Step of staircase.		բազրոտըն	p ɑ z ɾ ó d ə n	Rբազր+Rոտն	regular?				
8096	բարիոտն	adjective	Lucky-footed.		բարիվոտըն	p ɑ ɾ i v ó d ə n	Rբարի+Rոտն	Adjective				
8867	բոկոտն	adjective	Barefoot, barefooted.		բոկոտըն	p o ɡ ó d ə n	Rբոկ+Rոտն	Adjective				
9514	գայլոտն	noun	Lycopodium.		գայլոտըն	k ɑ j l ó d ə n	Rգայլ+Rոտն	regular?				
13373	ենթոտն	noun	Hypopus.		ենթոտըն	j e n t ó d ə n	Rենթ+Rոտն	regular?				
13591	երագոտն	noun	 (մջտ.) Ocypode.		երագոտըն	j e ɾ ɑ k ó d ə n	Rերագ+Rոտն	regular?				
13592	երագոտն	adjective	 (մջտ.) brisk, nimble.		երագոտըն	j e ɾ ɑ k ó d ə n	Rերագ+Rոտն	Adjective				
14247	երկարոտն	noun	Seriema, crested screamer.		երկարոտըն	j e ɾ ɡ ɑ ɾ ó d ə n	Rերկար+Rոտն	regular?				
14465	երկոտն	noun	Diplopod.		երկոտըն	j e ɾ ɡ ó d ə n	Rերկ+Rոտն	regular?				
15760	զուգահեռոտն	noun	Parallel piped.		զուգահեռոտըն	z u k ɑ h e ɾ ó d ə n	Rզույգ-ա+Rհեռ+Rոտն	regular?				
15827	զուգոտն	adjective	Isopodous.		զուգոտըն	z u k ó d ə n	Rզույգ+Rոտն	Adjective				
